,Tahun,Bulan,Hari,Jam,elevasi (m)
175884,2004,1,24,12,1.6
175885,2004,1,24,13,1.62
175886,2004,1,24,14,1.65
175887,2004,1,24,15,1.72
175888,2004,1,24,16,1.79
175889,2004,1,24,17,1.88
175890,2004,1,24,18,1.92
175891,2004,1,24,19,1.92
175892,2004,1,24,20,1.97
175893,2004,1,24,21,2.03
175894,2004,1,24,22,2.09
175895,2004,1,24,23,2.14
175896,2004,1,25,0,2.2
175897,2004,1,25,1,2.28
175898,2004,1,25,2,2.29
175899,2004,1,25,3,2.32
175900,2004,1,25,4,2.33
175901,2004,1,25,5,2.29
175902,2004,1,25,6,2.22
175903,2004,1,25,7,2.1
175904,2004,1,25,8,1.96
175905,2004,1,25,9,1.87
175906,2004,1,25,10,1.8
175907,2004,1,25,11,1.72
175908,2004,1,25,12,1.67
175909,2004,1,25,13,1.72
175910,2004,1,25,14,1.79
175911,2004,1,25,15,1.81
175912,2004,1,25,16,1.83
175913,2004,1,25,17,1.92
175914,2004,1,25,18,1.94
175915,2004,1,25,19,1.97
175916,2004,1,25,20,2.0
175917,2004,1,25,21,2.0
175918,2004,1,25,22,2.09
175919,2004,1,25,23,2.14
175920,2004,1,26,0,2.17
175921,2004,1,26,1,2.22
175922,2004,1,26,2,2.24
175923,2004,1,26,3,2.24
175924,2004,1,26,4,2.22
175925,2004,1,26,5,2.19
175926,2004,1,26,6,2.1
175927,2004,1,26,7,2.01
175928,2004,1,26,8,1.88
175929,2004,1,26,9,1.79
175930,2004,1,26,10,1.74
175931,2004,1,26,11,1.71
175932,2004,1,26,12,1.69
175933,2004,1,26,13,1.72
175934,2004,1,26,14,1.8
175935,2004,1,26,15,1.88
175936,2004,1,26,16,1.89
175937,2004,1,26,17,1.96
175938,2004,1,26,18,1.92
175939,2004,1,26,19,1.96
175940,2004,1,26,20,2.0
175941,2004,1,26,21,1.96
175942,2004,1,26,22,2.01
175943,2004,1,26,23,2.09
175944,2004,1,27,0,2.05
175945,2004,1,27,1,2.06
175946,2004,1,27,2,2.02
175947,2004,1,27,3,2.03
175948,2004,1,27,4,2.01
175949,2004,1,27,5,1.97
175950,2004,1,27,6,1.9
175951,2004,1,27,7,1.8
175952,2004,1,27,8,1.74
175953,2004,1,27,9,1.68
175954,2004,1,27,10,1.61
175955,2004,1,27,11,1.66
175956,2004,1,27,12,1.66
175957,2004,1,27,13,1.68
175958,2004,1,27,14,1.65
175959,2004,1,27,15,1.67
175960,2004,1,27,16,1.71
175961,2004,1,27,17,1.82
175962,2004,1,27,18,1.84
175963,2004,1,27,19,1.9
175964,2004,1,27,20,1.92
175965,2004,1,27,21,1.95
175966,2004,1,27,22,1.97
175967,2004,1,27,23,2.0
175968,2004,1,28,0,2.05
175969,2004,1,28,1,2.1
175970,2004,1,28,2,2.13
175971,2004,1,28,3,2.11
175972,2004,1,28,4,2.05
175973,2004,1,28,5,1.99
175974,2004,1,28,6,1.95
175975,2004,1,28,7,1.91
175976,2004,1,28,8,1.91
175977,2004,1,28,9,1.86
175978,2004,1,28,10,1.82
175979,2004,1,28,11,1.78
175980,2004,1,28,12,1.73
175981,2004,1,28,13,1.77
175982,2004,1,28,14,1.73
175983,2004,1,28,15,1.74
175984,2004,1,28,16,1.8
175985,2004,1,28,17,1.86
175986,2004,1,28,18,1.91
175987,2004,1,28,19,1.98
175988,2004,1,28,20,1.98
175989,2004,1,28,21,2.09
175990,2004,1,28,22,2.15
175991,2004,1,28,23,2.2
175992,2004,1,29,0,2.2
175993,2004,1,29,1,2.22
175994,2004,1,29,2,2.19
175995,2004,1,29,3,2.19
175996,2004,1,29,4,2.11
175997,2004,1,29,5,2.01
175998,2004,1,29,6,1.99
175999,2004,1,29,7,1.89
176000,2004,1,29,8,1.82
176001,2004,1,29,9,1.77
176002,2004,1,29,10,1.76
176003,2004,1,29,11,1.69
176004,2004,1,29,12,1.67
176005,2004,1,29,13,1.65
176006,2004,1,29,14,1.69
176007,2004,1,29,15,1.71
176008,2004,1,29,16,1.77
176009,2004,1,29,17,1.84
176010,2004,1,29,18,1.95
176011,2004,1,29,19,1.98
176012,2004,1,29,20,2.04
176013,2004,1,29,21,2.07
176014,2004,1,29,22,2.23
176015,2004,1,29,23,2.2
176016,2004,1,30,0,2.22
176017,2004,1,30,1,2.25
176018,2004,1,30,2,2.24
176019,2004,1,30,3,2.16
176020,2004,1,30,4,2.05
176021,2004,1,30,5,1.96
176022,2004,1,30,6,1.85
176023,2004,1,30,7,1.76
176024,2004,1,30,8,1.69
176025,2004,1,30,9,1.64
176026,2004,1,30,10,1.64
176027,2004,1,30,11,1.64
176028,2004,1,30,12,1.66
176029,2004,1,30,13,1.68
176030,2004,1,30,14,1.75
176031,2004,1,30,15,1.79
176032,2004,1,30,16,1.81
176033,2004,1,30,17,1.85
176034,2004,1,30,18,1.86
176035,2004,1,30,19,1.93
176036,2004,1,30,20,1.96
176037,2004,1,30,21,2.02
176038,2004,1,30,22,2.09
176039,2004,1,30,23,2.22
176040,2004,1,31,0,2.3
176041,2004,1,31,1,2.28
176042,2004,1,31,2,2.26
176043,2004,1,31,3,2.24
176044,2004,1,31,4,2.13
176045,2004,1,31,5,1.99
176046,2004,1,31,6,1.85
176047,2004,1,31,7,1.74
176048,2004,1,31,8,1.66
176049,2004,1,31,9,1.6
176050,2004,1,31,10,1.58
176051,2004,1,31,11,1.59
176052,2004,1,31,12,1.66
176053,2004,1,31,13,1.69
176054,2004,1,31,14,1.73
176055,2004,1,31,15,1.81
176056,2004,1,31,16,1.89
176057,2004,1,31,17,1.9
176058,2004,1,31,18,1.91
176059,2004,1,31,19,2.02
176060,2004,1,31,20,2.07
176061,2004,1,31,21,2.15
176062,2004,1,31,22,2.25
176063,2004,1,31,23,2.32
176064,2004,2,1,0,2.38
176065,2004,2,1,1,2.38
176066,2004,2,1,2,2.36
176067,2004,2,1,3,2.31
176068,2004,2,1,4,2.224
176069,2004,2,1,5,2.11
176070,2004,2,1,6,1.973
176071,2004,2,1,7,1.831
176072,2004,2,1,8,1.704
176073,2004,2,1,9,1.607
176074,2004,2,1,10,1.544
176075,2004,2,1,11,1.518
176076,2004,2,1,12,1.529
176077,2004,2,1,13,1.575
176078,2004,2,1,14,1.64
176079,2004,2,1,15,1.712
176080,2004,2,1,16,1.776
176081,2004,2,1,17,1.83
176082,2004,2,1,18,1.878
176083,2004,2,1,19,1.928
176084,2004,2,1,20,1.987
176085,2004,2,1,21,2.052
176086,2004,2,1,22,2.119
176087,2004,2,1,23,2.18
176088,2004,2,2,0,2.31
176089,2004,2,2,1,2.34
176090,2004,2,2,2,2.33
176091,2004,2,2,3,2.27
176092,2004,2,2,4,2.12
176093,2004,2,2,5,1.95
176094,2004,2,2,6,1.8
176095,2004,2,2,7,1.61
176096,2004,2,2,8,1.49
176097,2004,2,2,9,1.44
176098,2004,2,2,10,1.4
176099,2004,2,2,11,1.41
176100,2004,2,2,12,1.42
176101,2004,2,2,13,1.49
176102,2004,2,2,14,1.54
176103,2004,2,2,15,1.61
176104,2004,2,2,16,1.68
176105,2004,2,2,17,1.74
176106,2004,2,2,18,1.77
176107,2004,2,2,19,1.81
176108,2004,2,2,20,1.94
176109,2004,2,2,21,1.99
176110,2004,2,2,22,2.08
176111,2004,2,2,23,2.18
176112,2004,2,3,0,2.29
176113,2004,2,3,1,2.3
176114,2004,2,3,2,2.28
176115,2004,2,3,3,2.23
176116,2004,2,3,4,2.15
176117,2004,2,3,5,2.01
176118,2004,2,3,6,1.94
176119,2004,2,3,7,1.8
176120,2004,2,3,8,1.63
176121,2004,2,3,9,1.52
176122,2004,2,3,10,1.45
176123,2004,2,3,11,1.39
176124,2004,2,3,12,1.37
176125,2004,2,3,13,1.39
176126,2004,2,3,14,1.46
176127,2004,2,3,15,1.52
176128,2004,2,3,16,1.53
176129,2004,2,3,17,1.58
176130,2004,2,3,18,1.62
176131,2004,2,3,19,1.66
176132,2004,2,3,20,1.74
176133,2004,2,3,21,1.82
176134,2004,2,3,22,1.85
176135,2004,2,3,23,1.93
176136,2004,2,4,0,2.02
176137,2004,2,4,1,2.05
176138,2004,2,4,2,2.13
176139,2004,2,4,3,2.09
176140,2004,2,4,4,2.06
176141,2004,2,4,5,1.99
176142,2004,2,4,6,1.81
176143,2004,2,4,7,1.66
176144,2004,2,4,8,1.52
176145,2004,2,4,9,1.41
176146,2004,2,4,10,1.32
176147,2004,2,4,11,1.28
176148,2004,2,4,12,1.34
176149,2004,2,4,13,1.42
176150,2004,2,4,14,1.48
176151,2004,2,4,15,1.59
176152,2004,2,4,16,1.66
